region,,global,global,global,global,global,global,dry cold,dry cold,dry cold,dry cold,dry cold,dry cold,dry warm,dry warm,dry warm,dry warm,dry warm,dry warm,wet cold,wet cold,wet cold,wet cold,wet cold,wet cold,wet warm,wet warm,wet warm,wet warm,wet warm,wet warm
potevap,2,rsds,0.91,tas,0.92,albedoWater,0.81,tas,0.89,tas,0.92,tasmax,0.76,rsds,0.74,tasmax,0.74,tasmax,0.4,tasmax,0.89,huss,0.92,huss,0.67,tasmax,0.88,tas,0.74,tasmax,0.62
potevap,3,tas,0.89,rsds,0.91,tas,0.81,tasmin,0.84,tasmin,0.88,rsds,0.72,tas,0.68,tas,0.68,hurs,0.37,tas,0.85,tas,0.89,albedoLand,0.65,tas,0.86,tasmax,0.74,tas,0.58
potevap,4,tasmin,0.86,tasmin,0.89,rsds,0.81,rsds,0.79,rsds,0.87,cellarea30min,0.7,tasmin,0.52,sfcwind,0.56,tas,0.35,tasmin,0.83,tasmin,0.87,tas,0.63,tasmin,0.82,tasmin,0.69,tasmin,0.55
potevap,5,rlds,0.77,rlds,0.82,tasmin,0.76,cellarea30min,0.77,cellarea30min,0.86,tas,0.7,sfcwind,0.49,tasmin,0.5,rootFraction1_irrNonPaddy,0.32,rlds,0.8,rlds,0.84,albedoWater,0.6,rlds,0.77,rlds,0.59,huss,0.51
potevap,6,cellarea30min,0.73,cellarea30min,0.79,chanleng,0.76,rlds,0.65,huss,0.76,chanleng,0.68,albedoLand,0.41,albedoLand,0.43,rootFraction1_grassland,0.32,rsds,0.79,livestockConsumption,0.79,chanleng,0.59,huss,0.75,huss,0.57,albedoWater,0.51
tws,1,albedoLand,0.46,pr,0.66,pr,0.42,chanbw,0.23,firstStorDepth,0.6,percolationImp,0.36,chanbw,0.38,pr,0.69,lambda3,0.4,pr,0.26,firstStorDepth,0.72,firstStorDepth,0.54,pr,0.48,pr,0.52,recessionCoeff,0.38
tws,2,lambda1,0.33,firstStorDepth,0.54,percolationImp,0.29,ups,0.21,secondStorDepth,0.6,secondStorDepth,0.35,chanbnkf,0.33,chanbw,0.67,pr,0.4,firstStorDepth,0.14,secondStorDepth,0.72,secondStorDepth,0.54,chanbw,0.45,secondStorDepth,0.42,pr,0.24
tws,3,lambda2,0.31,secondStorDepth,0.54,secondStorDepth,0.29,chanbnkf,0.17,thetar3,0.5,firstStorDepth,0.35,pr,0.32,chanbnkf,0.6,ksat3,0.38,secondStorDepth,0.14,pr,0.65,percolationImp,0.53,ups,0.37,firstStorDepth,0.42,percolationImp,0.24
tws,4,sfcwind,0.3,chanbw,0.52,firstStorDepth,0.29,lakeresType,0.14,pr,0.49,alpha1,0.32,ups,0.29,fracforest,0.59,chanbw,0.38,chanbw,0.12,rlds,0.63,minSoilDepthFrac_grassland,0.45,secondStorDepth,0.36,rlds,0.42,secondStorDepth,0.23
tws,5,lambda3,0.27,hurs,0.47,chanbw,0.29,lakeresDis,0.14,thetas2,0.47,thetar3,0.32,huss,0.27,huss,0.59,lambda2,0.36,minSoilDepthFrac_irrNonPaddy,0.11,tasmin,0.63,minSoilDepthFrac_forest,0.45,firstStorDepth,0.36,huss,0.42,firstStorDepth,0.23
tws,6,efficiency,0.24,interceptcap_irrNonPaddy,0.43,lambda3,0.29,lakeresYear,0.12,thetar1,0.45,ksat1,0.31,hurs,0.23,hurs,0.57,lambda1,0.36,minSoilDepthFrac_forest,0.11,tas,0.62,minSoilDepthFrac_irrNonPaddy,0.45,huss,0.35,fracforest,0.42,huss,0.21
qtot,1,pr,0.9,pr,0.85,pr,0.53,pr,0.71,pr,0.67,pr,0.32,pr,0.85,pr,0.91,pr,0.72,pr,0.88,pr,0.7,pr,0.44,pr,0.9,pr,0.84,pr,0.55
qtot,2,interceptcap_forest,0.51,chanbw,0.68,chanbw,0.36,hurs,0.5,hurs,0.52,hurs,0.29,huss,0.63,chanbw,0.74,chanbw,0.51,dzRel0100,0.45,chanbw,0.38,ksat1,0.2,hurs,0.34,hurs,0.41,lambda1,0.22
qtot,3,interceptcap_irrNonPaddy,0.51,hurs,0.67,hurs,0.34,lakeresArea,0.3,efficiency,0.39,rsds,0.29,hurs,0.59,huss,0.71,ksat3,0.42,dzRel0090,0.43,rsds,0.33,thetas3,0.2,huss,0.27,huss,0.38,thetas3,0.21
qtot,4,interceptcap_irrPaddy,0.51,chanbnkf,0.49,minSoilDepthFrac_grassland,0.25,efficiency,0.29,fracforest,0.37,cellarea30min,0.26,rlds,0.48,hurs,0.7,hurs,0.42,tanslope,0.42,dzRel0100,0.3,thetas1,0.19,dzRel0100,0.25,rlds,0.36,thetas1,0.2
qtot,5,interceptcap_grassland,0.51,interceptcap_grassland,0.48,minSoilDepthFrac_irrNonPaddy,0.25,rootFraction1_forest,0.28,chanbw,0.36,albedoWater,0.24,fracforest,0.48,fracforest,0.64,lambda3,0.41,dzRel0080,0.41,tasmin,0.28,tasmax,0.19,rlds,0.24,tasmin,0.34,ksat3,0.2
qtot,6,huss,0.48,interceptcap_forest,0.48,minSoilDepthFrac_irrPaddy,0.25,rootFraction1_irrPaddy,0.28,rootFraction1_irrNonPaddy,0.3,efficiency,0.23,interceptcap_irrPaddy,0.46,chanbnkf,0.62,huss,0.4,dzRel0070,0.4,dzRel0090,0.27,ksat3,0.19,interceptcap_irrNonPaddy,0.24,chanbw,0.31,lambda3,0.19
qr,1,pr,0.8,pr,0.68,percolationImp,0.84,pr,0.42,secondStorDepth,0.79,percolationImp,0.97,pr,0.7,pr,0.72,percolationImp,0.66,pr,0.65,secondStorDepth,0.79,percolationImp,0.98,pr,0.72,pr,0.66,percolationImp,0.39
qr,2,interceptcap_forest,0.55,firstStorDepth,0.66,secondStorDepth,0.76,firstStorDepth,0.31,firstStorDepth,0.79,firstStorDepth,0.91,huss,0.53,chanbw,0.61,firstStorDepth,0.54,firstStorDepth,0.47,firstStorDepth,0.79,secondStorDepth,0.95,secondStorDepth,0.53,secondStorDepth,0.62,secondStorDepth,0.37
qr,3,interceptcap_irrNonPaddy,0.55,secondStorDepth,0.66,firstStorDepth,0.76,secondStorDepth,0.31,rlds,0.57,secondStorDepth,0.9,hurs,0.48,firstStorDepth,0.6,secondStorDepth,0.54,secondStorDepth,0.47,tasmin,0.67,firstStorDepth,0.95,firstStorDepth,0.53,firstStorDepth,0.62,firstStorDepth,0.37
qr,4,interceptcap_irrPaddy,0.55,interceptcap_grassland,0.58,pr,0.47,rlds,0.29,tasmin,0.55,minSoilDepthFrac_grassland,0.55,fracforest,0.45,secondStorDepth,0.6,pr,0.52,tasmin,0.43,rlds,0.67,minSoilDepthFrac_grassland,0.79,hurs,0.43,hurs,0.47,pr,0.36
qr,5,interceptcap_grassland,0.55,interceptcap_irrPaddy,0.58,minSoilDepthFrac_grassland,0.42,huss,0.29,minSoilDepthFrac_irrNonPaddy,0.53,minSoilDepthFrac_irrNonPaddy,0.55,rlds,0.42,fracforest,0.59,lambda3,0.39,rlds,0.42,minSoilDepthFrac_irrNonPaddy,0.67,minSoilDepthFrac_irrPaddy,0.79,huss,0.36,huss,0.45,huss,0.24
qr,6,huss,0.52,interceptcap_irrNonPaddy,0.58,minSoilDepthFrac_forest,0.42,tasmin,0.26,minSoilDepthFrac_grassland,0.53,minSoilDepthFrac_forest,0.55,secondStorDepth,0.41,huss,0.58,ksat3,0.38,tas,0.41,minSoilDepthFrac_irrPaddy,0.67,minSoilDepthFrac_irrNonPaddy,0.79,interceptcap_forest,0.35,rlds,0.43,thetas3,0.23
